排名,公司简称,公司全称,城市,行业,行业排名,轮次,最近融资,累计融资额,投资方,简介
3,MINIEYE,深圳佑驾创新科技有限公司,1,1,1,B轮,2019,109000000,吴泳铭，上凯创投，合创资本，越榕创富，四维图新（领投），阿里巴巴合伙人吴泳铭，德众合元投资，嘉霖集团，嘉信投资，四维图新，汉邦高科，中兴合创，浙商资本，普华资本，德瀚投资，中兴合创/中兴通讯,MINIEYE是一家定制化的ADAS解决方案提供商，可根据合作方不同的需要提供含有不同功能的ADAS产品。主打的基础功能板块有前向碰撞预警，车道偏离预警，盲点检测预警，行人碰撞预警和前车启动提醒。2016年4月，MINIEYE获得数千万A轮融资，中兴旗下的中兴合创参投。
36,蘑菇物联,蘑菇物联技术（深圳）有限公司,1,1,2,A轮,2019,61000000,元禾原点，启赋资本，势能资本（财务顾问），元禾原点创投（领投），深圳科院创投，银杏谷资本，腾股创投,蘑菇物联技术（深圳）有限公司,作为国内领先的通用工业设备一站式物联网应用平台，独立开发硬件、软件、云服务平台产品。是广东省工业企业上云上平台“试点示范”供应商，阿里云IoT合作伙伴以及阿里巴巴（ICA）联盟会员单位，广东省物联网协会副会长单位，深圳市双软企业，高新技术企业，广东省工业物联网供给资源池企业，广东省工业物联网专家委员会成员单位，同时也是2018年中国工业互联网中小企业数字化转型探索与实践的四个示范项目之一。公司成立于2016年5月，由知名投资机构元禾资本、启赋资本、银杏谷资本、腾股创投、科院创投联合投资，是拥有自主知识产权的创新公司。蘑菇物联致力于为通用工业设备行业提供新一代的基于移动物联网的SaaS服务和私有云应用部署服务。服务主要体现在物联网的感知层、PaaS层和应用层。蘑菇物联基于物联网的设备及客户管理软件（PHM-CRM），通过移动物联网技术和传感器精准获取设备的实时运行数据，实现“设备-设备用户-设备服务商-设备制造商”的全数字化打通，从而帮助客户提高效率，降低成本，节约能源，增加营收，增强竞争力。蘑菇物联总部位于深圳宝能科技园，并设有广州办公区，杭州、苏州服务中心。核心团队有来自中科院的资深物联网硬件开发高级工程师、来自用友软件的资深项目总监和移动互联网产品经理，以及在全球知名制造业品牌美的集团及格兰仕集团任职超10年的高管。经过两年多的发展，蘑菇物联在全国各地都有了一定的客户积累，在空压机领域不论市场份额还是品牌知名度都位居全国第一。2018年10月，蘑菇物联再次获得数千万元融资，这意味着蘑菇物联将实现新一轮的腾飞。我们拥有国际化的发展及管理理念、创新的产品、优秀的伙伴和人性化的氛围，未来，蘑菇物联也将持续专注工业设备领域的一站式物联网应用。加入我们，您不仅仅能得到一份优厚的报酬，您更是选择了一个才华横溢、激情饱满的团队作为您的工作伙伴，我们期望您来共同参与和见证一种全新的工业物联发展模式，来共同分享创造价值的成就感！查看全部
54,大象声科,大象声科（深圳）科技有限公司,1,1,3,A轮,2018,40000000,深圳狗尾草智能科技有限公司，挚金资本，高通投资，Qualcomm，元禾原点，紫金港资本，小米科技，公子小白，凯泰资本,大象声科是语音信号处理引擎供应商，依托算法、软件、硬件三个维度的技术纵深，为语音增强和智能语音交互提供先进的解决方案。公司凭借深度学习驱动的语音增强技术奠定了语音前端信号处理，目前公司已经完成了全球第一款芯片级单音轨实时语音提取方案，有效的实现了噪音与人声的分离。该技术已经开始在通讯行业开展广泛应用，开启人类无噪音通讯时代。
69,亿智科技,珠海亿智电子科技有限公司,3,1,4,天使轮,2019,30000000,北极光，朗玛峰创投，中建投资本，北极光创投，达泰资本，英特尔产品，华金资本，英特尔投资,亿智科技是一家以领先的数模混合Soc芯片设计为核心技术，为工业控制，消费类电子，汽车电子，智能家居等领域提供先进的，完整解决方案的高新技术公司。公司于2016年6月在珠海工商注册，注册资本2000万元人民币。创始人员为10多位在Soc芯片设计，算法，软件方案设计等方面有着10年以上的专家人才。公司核心员工都在各自相关方面有着丰富的经验积累，均毕业于国内一流的大学院校。
81,珑璟光电,深圳珑璟光电技术有限公司,1,1,5,天使轮,2019,64000000,源星资本，金复资本，水木资本，孝昌水木投资，珠海顺盈启成，君盛资本，君盛投资，珠海顺盈资本,深圳珑璟光电技术是一家专注于智能穿戴类产品光电子器件的开发与制造的科技公司，日前已经推出了拥有自主知识产权的穿透式光学引擎（seethroughopticalengine），以及一套完整的智能眼镜解决方案，可广泛应用于医疗健康、办公、汽车电子、安防、物流、消费电子等等领域。
87,唯传科技,深圳市唯传科技有限公司,1,1,6,A轮,2019,30000000,腾讯，拓华资本，长策投资，正轩投资,唯传科技是一家物联网云平台服务提供商，致力于为用户提供基于云服务系统的低功耗设备连接、网络覆盖及数据应用服务，实现端到端自主网络的全产业链体系，建立物联网低功耗广域网。
93,锐吉智能魔镜,深圳市锐吉电子科技有限公司,1,1,7,A轮,2018,50000000,和而泰，和尔泰，云启资本,锐吉电子是一个智能显示设备研发与智能家居一站式解决方案提供商，其旗下智能魔镜作为整个智能化场景的中央控制平台和交互中心，主要应用于家庭、商业以及健康领域。主要产品包括智能魔镜、防水电视、镜面电视、厨房电视、多媒体面板、互动数字标牌及配件等。
109,中天安驰,深圳市中天安驰有限责任公司,1,1,8,A+轮,2018,130000000,度量衡资本，云启资本，五岳资本,中天安驰是一家智能辅助驾驶设备提供商，主要产品为智能驾驶辅助ADAS硬件产品和车联网云数据平台。利用汽车智能摄像头，具有防碰撞预警、车道识别、行车记录仪、导航等功能。通过计算机视觉算法，可以分析记录司机驾驶行为。
124,美丽策,深圳美丽策科技有限公司,1,1,9,A轮,2018,48500000,吴世春，蓝湾基金，B.glen，梅鹤投资，蓝湾资本，尚诚同力，梅鹤资本，美潋国际，章子怡，梅花天使创投，高达投资，高达资本，凯思邦迪公关,深圳美丽策科技有限公司成立于2015年，是一家集软件，硬件，光生物美容，互联网和大数据于一体的原生态全产业链高科技企业，由来自光生物，美容护肤，硬件开发，软件开发，互联网等各领域的企业主联合创始。
140,普林芯驰,珠海普林芯驰科技有限公司,3,1,10,A轮,2019,30000000,高新天使创投，珠海清华创新中心，火山石资本，清资，珠海高新投，珠海清华科技园，力合创投,珠海普林芯驰科技有限公司主要成员由普林斯顿大学微电子学系博士毕业生和教授组成，成员在感应控制和人机交互领域具备丰富的硬件和软件研发经验。spacetouch的远距离电容感应技术为公司研发的第一代产品，感应距离达到世界级领先水平，芯片已广泛应用于卫浴、广告数字标牌、门锁、灯具等领域。公司致力于成为人机交互领域核心芯片及整体方案国际领先提供商。
141,斯凯荣科技,深圳市斯凯荣科技有限公司,1,1,11,C轮,2018,308700000,金沙江创投，台达电子集团资本，盈创智信，联想创投集团，宽带资本，联想创投，伟高达创投，伟高达投资，集富亚洲，联想之星，合伟高达创投,深圳市斯凯荣科技有限公司成立于2009年，是一家源自于硅谷，年轻而富有创造力的全球移动无线网络服务公司。公司在美国旧金山创办，研发中心在中国深圳，相继在北京、香港、厦门、西安等全球核心商业城市均设有销售分支机构。团队全员不墨守陈规并勇于突破极限，公司产品颠覆式地创造了行业的核心地位，代表着未来的科技方向。企业愿景 公司愿景是提供全球独一的数据流量服务，核心价值围绕VSIM技术软件解决方案的运营和服务，为广大用户提供最基本的网络连接服务，如：车载、智能家居、可穿戴设备等。目前所提供的全球漫游服务，是VSIM技术的第一个应用场景。公司致力打造集硬件、软件、服务和运营于一身的高品质产品。为全球用户提供7×24小时覆盖最广、速度最快、信号最强、价格最低的全球移动网络服务和解决方案。投资背景 公司拥有雄厚的投资背景，是滴滴打车投资方金沙江创投、 Evernote与Linkedin投资方宽带资本最看好的创业团队，同时与全球电脑市场领导企业-联想等战略性投资合作方强强联合。管理团队 公司高管均来自于微软、中国移动、腾讯、华为以及T-Mobile的核心团队。秉承互联网行业的大方向，及大型运营商公司的底层支撑快速发展。合作伙伴 公司客户包括腾讯、平安集团等重量级企业；及国航、汉莎航空等航空公司；途牛、携程及凯撒旅游、华远国旅等知名旅游企业是长期合作伙伴。 产品介绍：漫游宝是新一代全球移动无线Wi-Fi，专注于提供全球漫游服务，是商旅人士出国的必备产品。借助于硅谷的专利技术，漫游宝在无线上网领域具有独一无二的竞争优势。24小时Daypass计费方式，即24小时内不分国家、区域的无限上网套餐，彻底颠覆行业内的赢利模式，拓宽了广大用户的选择范围，降低了用户的使用成本。以无需插卡（无SIM卡），无需预约，无需登记的上网方式，及支持多端同时在线等功能，给客户带来全新的使用体验。 公司网站：http://www.skyroam.com.cn
147,方邦电子,广州方邦电子股份有限公司,2,1,12,Pre-IPO,2019,50000000,广州美智电子，长江小米基金，松禾资本,方邦电子是一家电子材料制造商，旗下拥有卷状溅射及蒸发技术、电沉积技术、精密涂布技术以及高性能材料的合成技术等核心基础技术，为用户提供屏蔽膜、导电胶、挠性覆铜板、极薄电解铜箔等产品，应用于智能手机、可穿戴设备、航空航天、国防军工、5G等领域。
149,crazybaby,crazybaby Inc,1,1,13,B轮,2018,105000000,创新工场，SIG，浩方创投，SIG海纳亚洲，东方网力，如川投资,-crazybaby是一个由设计师和极客组成的硬件创业团队。 -我们志在打磨出这样的硬件设备：她能够实现科技与人类情感的有机链接。 -我们相信设计驱动产品，因为产品的每一个细节，都来自于设计方法论上的反复推敲。比普通创客更幸运一些的是，我们刚成立就有丰富的供应链经验，和完善的生产链条。
167,参半NYSCPS,深圳小阔科技有限公司,1,1,14,A轮,2019,163000000,明见资本，明见投资，尹阔，奇胜投资,小阔科技，专注于智能声波牙刷等一系列口腔护理产品。
182,易冲无线,深圳市易冲无线科技有限公司,1,1,15,C轮,2018,64500000,四川发展股权投资，兰璞资本，信维通信，顺络电子，鼎翔资本，铭峻暾玮，中兴合创，中金前海，九鼎投资，德商资本，清控创投，海尔集团，泽宝电子，中楷投资，清华产业基金,易冲无线是一家无线充电芯片和解决方案服务提供商，公司专注于磁共振耦合无线充电技术，此技术可应用于消费类电子、汽车电子、无人飞行器等产品，拥有自由位置摆放、充电面积大等特点。
196,云英谷科技,深圳云英谷科技有限公司,1,1,16,D轮,2018,20700000,嘉平投资，White Cloud Valley（HK）Investment Limited，复之硕资本-安硕信息，上海乾洋投资管理有限公司，Vertex Asia Fund，深圳市孺牛投资，盛世金牛，京东方，中芯聚源，上海其光投资，沿海资本，鸿泰基金，北极光创投，宋硕投资，祥峰投资，Qualcomm，毅创投资，崑巍投资，宁波宇航投资，维信诺，小米科技,深圳云英谷科技有限公司成立于2012年，坚持以显示技术的研发及显示芯片的生产及销售为核心业务，云英谷的核心显示技术可以直接应用于LED、OLED、柔性显示材料等各种显示载体，可广泛应用于手机、PDA、数码相机、MP5、MP4等产品，同时也可以扩展至投影仪、电视机等。
215,惠牛科技,深圳惠牛科技有限公司,1,1,17,A轮,2019,31350000,中海资本，蓝马资本，壹柒伍，中科创星，麦格米特,惠牛科技致力于增强现实(AR)眼镜的光学设计与显示模组供应，将基于目前所积累的技术，人才及产业资源，快速实现自主方案的量产与市场化，立志成为国内顶尖的AR光学模组供应商，在为整机客户提供高质量高性价比的产品及服务的同时也为推动我国乃至全球的AR行业发展贡献力量。
225,猫王收音机,深圳市云动创想科技有限公司,1,1,18,C轮,2019,33000000,天奇创投，众筹，京东金融，极客公园，北京由之投资，浩方创投，华登国际，上海湖杉，腾讯投资，京东，奥银湖杉,猫王是一家从事传统音频、智能音频的硬创型公司，致力于打造一流的互联网时代音响产品，旨在为人类生活贡献科技之美。猫王由中国著名音响设计师、中国第一台商品化胆机的设计者曾德钧创办，产品追求极致体验。公司秉承永不停息的创意精神，广纳行业精英，形成了专业化、职业化、富有实干精神的主体团队，追求品牌化发展道路。
242,tonot,来去技术（深圳）有限公司,1,1,19,B轮,2018,60000000,BAI，Snow，贝塔斯曼，快手,tonot时尚墨镜是一个专注于时尚视频眼镜研发生产服务商，产品有腾讯微视智能眼镜。来去技术（深圳）有限公司旗下产品。
