成立年限,公司数量,公司
0,1,1
1,34,1
1,34,2
1,34,3
1,34,4
1,34,5
1,34,6
1,34,7
1,34,8
1,34,9
1,34,10
1,34,11
1,34,12
1,34,13
1,34,14
1,34,15
1,34,16
1,34,17
1,34,18
1,34,19
1,34,20
1,34,21
1,34,22
1,34,23
1,34,24
1,34,25
1,34,26
1,34,27
1,34,28
1,34,29
1,34,30
1,34,31
1,34,32
1,34,33
1,34,34
2,68,1
2,68,2
2,68,3
2,68,4
2,68,5
2,68,6
2,68,7
2,68,8
2,68,9
2,68,10
2,68,11
2,68,12
2,68,13
2,68,14
2,68,15
2,68,16
2,68,17
2,68,18
2,68,19
2,68,20
2,68,21
2,68,22
2,68,23
2,68,24
2,68,25
2,68,26
2,68,27
2,68,28
2,68,29
2,68,30
2,68,31
2,68,32
2,68,33
2,68,34
2,68,35
2,68,36
2,68,37
2,68,38
2,68,39
2,68,40
2,68,41
2,68,42
2,68,43
2,68,44
2,68,45
2,68,46
2,68,47
2,68,48
2,68,49
2,68,50
2,68,51
2,68,52
2,68,53
2,68,54
2,68,55
2,68,56
2,68,57
2,68,58
2,68,59
2,68,60
2,68,61
2,68,62
2,68,63
2,68,64
2,68,65
2,68,66
2,68,67
2,68,68
3,106,1
3,106,2
3,106,3
3,106,4
3,106,5
3,106,6
3,106,7
3,106,8
3,106,9
3,106,10
3,106,11
3,106,12
3,106,13
3,106,14
3,106,15
3,106,16
3,106,17
3,106,18
3,106,19
3,106,20
3,106,21
3,106,22
3,106,23
3,106,24
3,106,25
3,106,26
3,106,27
3,106,28
3,106,29
3,106,30
3,106,31
3,106,32
3,106,33
3,106,34
3,106,35
3,106,36
3,106,37
3,106,38
3,106,39
3,106,40
3,106,41
3,106,42
3,106,43
3,106,44
3,106,45
3,106,46
3,106,47
3,106,48
3,106,49
3,106,50
3,106,51
3,106,52
3,106,53
3,106,54
3,106,55
3,106,56
3,106,57
3,106,58
3,106,59
3,106,60
3,106,61
3,106,62
3,106,63
3,106,64
3,106,65
3,106,66
3,106,67
3,106,68
3,106,69
3,106,70
3,106,71
3,106,72
3,106,73
3,106,74
3,106,75
3,106,76
3,106,77
3,106,78
3,106,79
3,106,80
3,106,81
3,106,82
3,106,83
3,106,84
3,106,85
3,106,86
3,106,87
3,106,88
3,106,89
3,106,90
3,106,91
3,106,92
3,106,93
3,106,94
3,106,95
3,106,96
3,106,97
3,106,98
3,106,99
3,106,100
3,106,101
3,106,102
3,106,103
3,106,104
3,106,105
3,106,106
4,119,1
4,119,2
4,119,3
4,119,4
4,119,5
4,119,6
4,119,7
4,119,8
4,119,9
4,119,10
4,119,11
4,119,12
4,119,13
4,119,14
4,119,15
4,119,16
4,119,17
4,119,18
4,119,19
4,119,20
4,119,21
4,119,22
4,119,23
4,119,24
4,119,25
4,119,26
4,119,27
4,119,28
4,119,29
4,119,30
4,119,31
4,119,32
4,119,33
4,119,34
4,119,35
4,119,36
4,119,37
4,119,38
4,119,39
4,119,40
4,119,41
4,119,42
4,119,43
4,119,44
4,119,45
4,119,46
4,119,47
4,119,48
4,119,49
4,119,50
4,119,51
4,119,52
4,119,53
4,119,54
4,119,55
4,119,56
4,119,57
4,119,58
4,119,59
4,119,60
4,119,61
4,119,62
4,119,63
4,119,64
4,119,65
4,119,66
4,119,67
4,119,68
4,119,69
4,119,70
4,119,71
4,119,72
4,119,73
4,119,74
4,119,75
4,119,76
4,119,77
4,119,78
4,119,79
4,119,80
4,119,81
4,119,82
4,119,83
4,119,84
4,119,85
4,119,86
4,119,87
4,119,88
4,119,89
4,119,90
4,119,91
4,119,92
4,119,93
4,119,94
4,119,95
4,119,96
4,119,97
4,119,98
4,119,99
4,119,100
4,119,101
4,119,102
4,119,103
4,119,104
4,119,105
4,119,106
4,119,107
4,119,108
4,119,109
4,119,110
4,119,111
4,119,112
4,119,113
4,119,114
4,119,115
4,119,116
4,119,117
4,119,118
4,119,119
5,86,1
5,86,2
5,86,3
5,86,4
5,86,5
5,86,6
5,86,7
5,86,8
5,86,9
5,86,10
5,86,11
5,86,12
5,86,13
5,86,14
5,86,15
5,86,16
5,86,17
5,86,18
5,86,19
5,86,20
5,86,21
5,86,22
5,86,23
5,86,24
5,86,25
5,86,26
5,86,27
5,86,28
5,86,29
5,86,30
5,86,31
5,86,32
5,86,33
5,86,34
5,86,35
5,86,36
5,86,37
5,86,38
5,86,39
5,86,40
5,86,41
5,86,42
5,86,43
5,86,44
5,86,45
5,86,46
5,86,47
5,86,48
5,86,49
5,86,50
5,86,51
5,86,52
5,86,53
5,86,54
5,86,55
5,86,56
5,86,57
5,86,58
5,86,59
5,86,60
5,86,61
5,86,62
5,86,63
5,86,64
5,86,65
5,86,66
5,86,67
5,86,68
5,86,69
5,86,70
5,86,71
5,86,72
5,86,73
5,86,74
5,86,75
5,86,76
5,86,77
5,86,78
5,86,79
5,86,80
5,86,81
5,86,82
5,86,83
5,86,84
5,86,85
5,86,86
6,31,1
6,31,2
6,31,3
6,31,4
6,31,5
6,31,6
6,31,7
6,31,8
6,31,9
6,31,10
6,31,11
6,31,12
6,31,13
6,31,14
6,31,15
6,31,16
